,City,job,salary_percentiles
14,halifax,"{'id': 'CUSTOMER-SUPPORT', 'title': 'Customer Support'}","{'percentile_25': 23248.390431650558, 'percentile_50': 26292.052195982524, 'percentile_75': 29734.187865976557}"
15,halifax,"{'id': 'DATA-ANALYST', 'title': 'Data Analyst'}","{'percentile_25': 38371.07446465783, 'percentile_50': 45353.68765374874, 'percentile_75': 53606.96859527317}"
16,halifax,"{'id': 'DATA-SCIENTIST', 'title': 'Data Scientist'}","{'percentile_25': 41162.596437189786, 'percentile_50': 51059.37173265281, 'percentile_75': 63335.64127110763}"
17,halifax,"{'id': 'DENTIST', 'title': 'Dentist'}","{'percentile_25': 66478.88601578482, 'percentile_50': 92682.40260484235, 'percentile_75': 129214.37568262596}"
18,halifax,"{'id': 'ELECTRICAL-ENGINEER', 'title': 'Electrical Engineer'}","{'percentile_25': 41633.41774631772, 'percentile_50': 50012.865708376106, 'percentile_75': 60078.82301676494}"
19,halifax,"{'id': 'EXECUTIVE-ASSISTANT', 'title': 'Executive Assistant'}","{'percentile_25': 29761.50658183133, 'percentile_50': 34511.64056531817, 'percentile_75': 40019.927460151615}"
20,halifax,"{'id': 'FASHION-DESIGNER', 'title': 'Fashion Designer'}","{'percentile_25': 25253.88336801572, 'percentile_50': 32528.384784447608, 'percentile_75': 41898.340990406694}"
21,halifax,"{'id': 'FINANCE-MANAGER', 'title': 'Finance Manager'}","{'percentile_25': 47458.10992260563, 'percentile_50': 57190.96528094934, 'percentile_75': 68919.86459428667}"
22,halifax,"{'id': 'FINANCIAL-ANALYST', 'title': 'Financial Analyst'}","{'percentile_25': 33584.792264665695, 'percentile_50': 38716.67617961922, 'percentile_75': 44632.73146323912}"
23,halifax,"{'id': 'GRAPHIC-DESIGNER', 'title': 'Graphic Designer'}","{'percentile_25': 33295.548326955875, 'percentile_50': 38717.46825064098, 'percentile_75': 45022.305475166984}"
24,halifax,"{'id': 'HARDWARE-ENGINEER', 'title': 'Hardware Engineer'}","{'percentile_25': 44605.081173942235, 'percentile_50': 51669.82053603293, 'percentile_75': 59853.502873692756}"
25,halifax,"{'id': 'HUMAN-RESOURCES-MANAGER', 'title': 'Human Resources Manager'}","{'percentile_25': 36199.06653490325, 'percentile_50': 43033.04753307423, 'percentile_75': 51157.20810640995}"
26,halifax,"{'id': 'IT-MANAGER', 'title': 'IT Manager'}","{'percentile_25': 39465.40822471152, 'percentile_50': 46982.366632026016, 'percentile_75': 55931.07669830132}"
27,halifax,"{'id': 'INDUSTRIAL-DESIGNER', 'title': 'Industrial Designer'}","{'percentile_25': 30413.686935077472, 'percentile_50': 37114.550436575024, 'percentile_75': 45291.77462270615}"
28,halifax,"{'id': 'INTERIOR-DESIGNER', 'title': 'Interior Designer'}","{'percentile_25': 25009.619275794037, 'percentile_50': 29782.14696761589, 'percentile_75': 35465.40505953029}"
29,halifax,"{'id': 'LECTURER', 'title': 'Lecturer'}","{'percentile_25': 38202.521819601, 'percentile_50': 52586.176213181374, 'percentile_75': 72385.42894581727}"
30,halifax,"{'id': 'MARKETING-MANAGER', 'title': 'Marketing Manager'}","{'percentile_25': 31740.69288399081, 'percentile_50': 38387.7062300947, 'percentile_75': 46426.711445587425}"
31,halifax,"{'id': 'MECHANICAL-ENGINEER', 'title': 'Mechanical Engineer'}","{'percentile_25': 41553.431057213165, 'percentile_50': 49283.649238703656, 'percentile_75': 58451.92612228231}"
32,halifax,"{'id': 'MOBILE-DEVELOPER', 'title': 'Mobile Developer'}","{'percentile_25': 41141.93980132461, 'percentile_50': 49601.885515142516, 'percentile_75': 59801.43519091171}"
33,halifax,"{'id': 'NURSE', 'title': 'Nurse'}","{'percentile_25': 38175.962265080576, 'percentile_50': 43386.76901611544, 'percentile_75': 49308.82193844765}"
34,halifax,"{'id': 'OFFICE-MANAGER', 'title': 'Office Manager'}","{'percentile_25': 23029.17462962386, 'percentile_50': 27410.308638574486, 'percentile_75': 32624.92172409145}"
35,halifax,"{'id': 'OPERATIONS-MANAGER', 'title': 'Operations Manager'}","{'percentile_25': 44769.55384784345, 'percentile_50': 56840.45917328886, 'percentile_75': 72165.95925907238}"
36,halifax,"{'id': 'PHARMACIST', 'title': 'Pharmacist'}","{'percentile_25': 49881.36787399138, 'percentile_50': 62093.2181135414, 'percentile_75': 77294.74751846482}"
37,halifax,"{'id': 'PHYSICIAN', 'title': 'Physician'}","{'percentile_25': 84400.43377016878, 'percentile_50': 114716.96598391909, 'percentile_75': 155923.1593571149}"
38,halifax,"{'id': 'POSTDOCTORAL-RESEARCHER', 'title': 'Postdoctoral Researcher'}","{'percentile_25': 32642.19023609883, 'percentile_50': 37054.4380484553, 'percentile_75': 42063.089797460445}"
39,halifax,"{'id': 'PRODUCT-MANAGER', 'title': 'Product Manager'}","{'percentile_25': 39744.92506005915, 'percentile_50': 46893.213701524845, 'percentile_75': 55327.1515277479}"
40,halifax,"{'id': 'PROJECT-MANAGER', 'title': 'Project Manager'}","{'percentile_25': 47228.46508196554, 'percentile_50': 57916.57339333919, 'percentile_75': 71023.47001547833}"
41,halifax,"{'id': 'QA-ENGINEER', 'title': 'QA Engineer'}","{'percentile_25': 33827.006575218446, 'percentile_50': 41123.10807835687, 'percentile_75': 49992.8958911523}"
42,halifax,"{'id': 'RECEPTIONIST', 'title': 'Receptionist'}","{'percentile_25': 21306.35214315196, 'percentile_50': 24274.156240732013, 'percentile_75': 27655.35166416809}"
43,halifax,"{'id': 'RESEARCH-SCIENTIST', 'title': 'Research Scientist'}","{'percentile_25': 33913.3621802313, 'percentile_50': 40908.7409838894, 'percentile_75': 49347.07092717807}"
44,halifax,"{'id': 'SALES-MANAGER', 'title': 'Sales Manager'}","{'percentile_25': 28239.28121666368, 'percentile_50': 35301.06691806812, 'percentile_75': 44128.790530921004}"
45,halifax,"{'id': 'SOFTWARE-ENGINEER', 'title': 'Software Engineer'}","{'percentile_25': 40192.70081656199, 'percentile_50': 47136.283878726295, 'percentile_75': 55279.421704856795}"
46,halifax,"{'id': 'SYSTEMS-ADMINISTRATOR', 'title': 'Systems Administrator'}","{'percentile_25': 39019.47150361039, 'percentile_50': 46181.14412992834, 'percentile_75': 54657.277276343455}"
47,halifax,"{'id': 'TEACHER', 'title': 'Teacher'}","{'percentile_25': 22575.963431157288, 'percentile_50': 29509.78770322723, 'percentile_75': 38573.21850050944}"
48,halifax,"{'id': 'UX-DESIGNER', 'title': 'UX Designer'}","{'percentile_25': 41770.399872320035, 'percentile_50': 50031.72129265643, 'percentile_75': 59926.96127299531}"
49,halifax,"{'id': 'WAITER', 'title': 'Waiter'}","{'percentile_25': 15213.306386514247, 'percentile_50': 20701.257686078607, 'percentile_75': 28168.897601727618}"
50,halifax,"{'id': 'WEB-DESIGNER', 'title': 'Web Designer'}","{'percentile_25': 31095.563210994074, 'percentile_50': 36906.84694518619, 'percentile_75': 43804.17045972053}"
51,halifax,"{'id': 'WEB-DEVELOPER', 'title': 'Web Developer'}","{'percentile_25': 29689.050593954926, 'percentile_50': 35836.72454064139, 'percentile_75': 43257.38951259368}"
0,quebec,"{'id': 'ACCOUNT-MANAGER', 'title': 'Account Manager'}","{'percentile_25': 40386.79132513297, 'percentile_50': 49228.43825668107, 'percentile_75': 60005.73587740647}"
1,quebec,"{'id': 'ACCOUNTANT', 'title': 'Accountant'}","{'percentile_25': 42239.82443361453, 'percentile_50': 50194.446078734436, 'percentile_75': 59647.08544446435}"
2,quebec,"{'id': 'ADMINISTRATIVE-ASSISTANT', 'title': 'Administrative Assistant'}","{'percentile_25': 38807.38474431454, 'percentile_50': 45479.700869120104, 'percentile_75': 53299.21623867411}"
3,quebec,"{'id': 'ARCHITECT', 'title': 'Architect'}","{'percentile_25': 42474.59024811859, 'percentile_50': 52066.102488423676, 'percentile_75': 63823.54750214726}"
4,quebec,"{'id': 'ATTORNEY', 'title': 'Attorney'}","{'percentile_25': 43706.77535537944, 'percentile_50': 57052.38569496086, 'percentile_75': 74473.00074234261}"
5,quebec,"{'id': 'BUSINESS-ANALYST', 'title': 'Business Analyst'}","{'percentile_25': 44037.43508748808, 'percentile_50': 52006.94909246341, 'percentile_75': 61418.71679248974}"
6,quebec,"{'id': 'BUSINESS-DEVELOPMENT', 'title': 'Business Development'}","{'percentile_25': 45003.44436429799, 'percentile_50': 55216.96532574536, 'percentile_75': 67748.4424326268}"
7,quebec,"{'id': 'C-LEVEL-EXECUTIVE', 'title': 'C Level Executive'}","{'percentile_25': 62979.87403426482, 'percentile_50': 87322.65891773948, 'percentile_75': 121074.34124614595}"
8,quebec,"{'id': 'CASHIER', 'title': 'Cashier'}","{'percentile_25': 12427.924185265078, 'percentile_50': 17703.417282472798, 'percentile_75': 25218.2889761225}"
9,quebec,"{'id': 'CHEF', 'title': 'Chef'}","{'percentile_25': 25771.93463613466, 'percentile_50': 30142.09508758394, 'percentile_75': 35253.305935173594}"
10,quebec,"{'id': 'CHEMICAL-ENGINEER', 'title': 'Chemical Engineer'}","{'percentile_25': 37021.981903338485, 'percentile_50': 44202.65410835439, 'percentile_75': 52776.06788648523}"
11,quebec,"{'id': 'CIVIL-ENGINEER', 'title': 'Civil Engineer'}","{'percentile_25': 45325.68277935622, 'percentile_50': 55550.40227796603, 'percentile_75': 68081.64828460822}"
12,quebec,"{'id': 'CONTENT-MARKETING', 'title': 'Content Marketing'}","{'percentile_25': 35452.47489062257, 'percentile_50': 44023.07935350391, 'percentile_75': 54665.61986840375}"
13,quebec,"{'id': 'COPYWRITER', 'title': 'Copywriter'}","{'percentile_25': 26418.473028914763, 'percentile_50': 31617.446838656106, 'percentile_75': 37839.5429403177}"
14,quebec,"{'id': 'CUSTOMER-SUPPORT', 'title': 'Customer Support'}","{'percentile_25': 42015.163438547155, 'percentile_50': 47515.7569815236, 'percentile_75': 53736.484086976554}"
15,quebec,"{'id': 'DATA-ANALYST', 'title': 'Data Analyst'}","{'percentile_25': 34222.85019898245, 'percentile_50': 40450.58628530192, 'percentile_75': 47811.62063682546}"
16,quebec,"{'id': 'DATA-SCIENTIST', 'title': 'Data Scientist'}","{'percentile_25': 33195.6422514658, 'percentile_50': 41176.912660122274, 'percentile_75': 51077.13004541941}"
17,quebec,"{'id': 'DENTIST', 'title': 'Dentist'}","{'percentile_25': 69277.99699439314, 'percentile_50': 96584.8196088132, 'percentile_75': 134654.9811424539}"
18,quebec,"{'id': 'ELECTRICAL-ENGINEER', 'title': 'Electrical Engineer'}","{'percentile_25': 40358.925366584954, 'percentile_50': 48481.85961394396, 'percentile_75': 58239.675369856406}"
19,quebec,"{'id': 'EXECUTIVE-ASSISTANT', 'title': 'Executive Assistant'}","{'percentile_25': 27082.970985458433, 'percentile_50': 31405.592915615045, 'percentile_75': 36418.13399685384}"
20,quebec,"{'id': 'FASHION-DESIGNER', 'title': 'Fashion Designer'}","{'percentile_25': 21931.003976611482, 'percentile_50': 28248.33416406562, 'percentile_75': 36385.40141143185}"
21,quebec,"{'id': 'FINANCE-MANAGER', 'title': 'Finance Manager'}","{'percentile_25': 55950.613809964685, 'percentile_50': 67425.13801820051, 'percentile_75': 81252.89299263644}"
22,quebec,"{'id': 'FINANCIAL-ANALYST', 'title': 'Financial Analyst'}","{'percentile_25': 45937.8192989968, 'percentile_50': 52957.292705305976, 'percentile_75': 61049.36833030509}"
23,quebec,"{'id': 'GRAPHIC-DESIGNER', 'title': 'Graphic Designer'}","{'percentile_25': 27800.166566217784, 'percentile_50': 32327.20650275551, 'percentile_75': 37591.439525463866}"
24,quebec,"{'id': 'HARDWARE-ENGINEER', 'title': 'Hardware Engineer'}","{'percentile_25': 47891.77136894782, 'percentile_50': 55477.07047028065, 'percentile_75': 64263.760975857644}"
25,quebec,"{'id': 'HUMAN-RESOURCES-MANAGER', 'title': 'Human Resources Manager'}","{'percentile_25': 36568.44476647062, 'percentile_50': 43472.16026257171, 'percentile_75': 51679.22043071112}"
26,quebec,"{'id': 'IT-MANAGER', 'title': 'IT Manager'}","{'percentile_25': 36612.48714979887, 'percentile_50': 43586.05097115775, 'percentile_75': 51887.866330621495}"
27,quebec,"{'id': 'INDUSTRIAL-DESIGNER', 'title': 'Industrial Designer'}","{'percentile_25': 31694.263230010783, 'percentile_50': 38677.26834845082, 'percentile_75': 47198.79670468575}"
28,quebec,"{'id': 'INTERIOR-DESIGNER', 'title': 'Interior Designer'}","{'percentile_25': 26062.655873650452, 'percentile_50': 31036.13210369236, 'percentile_75': 36958.68527856703}"
29,quebec,"{'id': 'LECTURER', 'title': 'Lecturer'}","{'percentile_25': 32051.2683358715, 'percentile_50': 44118.910556723196, 'percentile_75': 60730.14797151287}"
30,quebec,"{'id': 'MARKETING-MANAGER', 'title': 'Marketing Manager'}","{'percentile_25': 29576.55472994473, 'percentile_50': 35770.362623451816, 'percentile_75': 43261.253851104986}"
31,quebec,"{'id': 'MECHANICAL-ENGINEER', 'title': 'Mechanical Engineer'}","{'percentile_25': 32896.46625471784, 'percentile_50': 39016.22231328949, 'percentile_75': 46274.441510316115}"
32,quebec,"{'id': 'MOBILE-DEVELOPER', 'title': 'Mobile Developer'}","{'percentile_25': 42874.23201664659, 'percentile_50': 51690.38595686481, 'percentile_75': 62319.39033525409}"
33,quebec,"{'id': 'NURSE', 'title': 'Nurse'}","{'percentile_25': 33059.59619038087, 'percentile_50': 37572.047397563045, 'percentile_75': 42700.42312420818}"
34,quebec,"{'id': 'OFFICE-MANAGER', 'title': 'Office Manager'}","{'percentile_25': 30705.566173682862, 'percentile_50': 36547.07818502777, 'percentile_75': 43499.895631539446}"
35,quebec,"{'id': 'OPERATIONS-MANAGER', 'title': 'Operations Manager'}","{'percentile_25': 53723.464606331145, 'percentile_50': 68208.55101036088, 'percentile_75': 86599.15113487917}"
36,quebec,"{'id': 'PHARMACIST', 'title': 'Pharmacist'}","{'percentile_25': 61940.59966207504, 'percentile_50': 77104.76534494746, 'percentile_75': 95981.38977236125}"
37,quebec,"{'id': 'PHYSICIAN', 'title': 'Physician'}","{'percentile_25': 84400.43377016878, 'percentile_50': 114716.96598391909, 'percentile_75': 155923.1593571149}"
38,quebec,"{'id': 'POSTDOCTORAL-RESEARCHER', 'title': 'Postdoctoral Researcher'}","{'percentile_25': 32642.19023609883, 'percentile_50': 37054.4380484553, 'percentile_75': 42063.089797460445}"
39,quebec,"{'id': 'PRODUCT-MANAGER', 'title': 'Product Manager'}","{'percentile_25': 52463.30108573302, 'percentile_50': 61899.04208961883, 'percentile_75': 73031.84001615079}"
40,quebec,"{'id': 'PROJECT-MANAGER', 'title': 'Project Manager'}","{'percentile_25': 34464.01505722276, 'percentile_50': 42263.44544986885, 'percentile_75': 51827.937584413834}"
41,quebec,"{'id': 'QA-ENGINEER', 'title': 'QA Engineer'}","{'percentile_25': 39524.186628622134, 'percentile_50': 48049.105225857296, 'percentile_75': 58412.75203709339}"
42,quebec,"{'id': 'RECEPTIONIST', 'title': 'Receptionist'}","{'percentile_25': 22203.46170736169, 'percentile_50': 25296.22597761432, 'percentile_75': 28819.78752431956}"
43,quebec,"{'id': 'RESEARCH-SCIENTIST', 'title': 'Research Scientist'}","{'percentile_25': 37903.16949147834, 'percentile_50': 45721.53404331158, 'percentile_75': 55152.60869526206}"
44,quebec,"{'id': 'SALES-MANAGER', 'title': 'Sales Manager'}","{'percentile_25': 30866.191097861883, 'percentile_50': 38584.88709792878, 'percentile_75': 48233.794303925}"
